[asn.txt]                                        2017-02-24 02:05:05Z

This file contains a list of autonomous system numbers and names of all
registered ASNs.  The column on the right below contains the ARIN
database "handle" of the technical, abuse or NOC contacts for the ASN.
Additional information may be obtained about any of the ASN contacts
in this list by querying the ARIN WHOIS server.  For questions or updates
on this information please contact the ARIN Registration Services Hostmaster
staff, HOSTMASTER@ARIN.NET.

AS Number               AS Name                                            POC Handles
 122                     U-PGH-NET-AS                                       UPMCT-ARIN (Tech), INFOS7-ARIN (Abuse), VULJA-ARIN (Tech), SNYDE8-ARIN (Admin)
 123                     LOGAIRCOMNET-AS                                    REGIS10-ARIN (Admin), REGIS10-ARIN (Tech), REGIS10-ARIN (Abuse)
 124                     DNIC-AS-00124                                      REGIS10-ARIN (Tech), MIL-HSTMST-ARIN (Tech), MIL-HSTMST-ARIN (Admin), REGIS10-ARIN (Abuse)
 125                     HI-NET-AS                                          CV136-ARIN (Tech), ABUSE106-ARIN (Abuse), CERF-HM-ARIN (NOC), CV136-ARIN (Admin)
 126                     DNIC-AS-00126                                      REGIS10-ARIN (Tech), MIL-HSTMST-ARIN (Tech), MIL-HSTMST-ARIN (Admin), REGIS10-ARIN (Abuse)
 127                     JPL-AS127                                          NOC157-ARIN (Abuse), NOC157-ARIN (NOC), PAV18-ARIN (Admin), JMI120-ARIN (Tech)
 128                     ADS-AS                                             INTER36-ARIN (Admin), INTER36-ARIN (Tech), INTER36-ARIN (Abuse), PD5-ARIN (Tech)
 129                     DNIC-AS-00129                                      REGIS10-ARIN (Tech), MIL-HSTMST-ARIN (Tech), MIL-HSTMST-ARIN (Admin), REGIS10-ARIN (Abuse)
 130                     CSOCNET-AS                                         CKN23-ARIN (Tech), CKN23-ARIN (Admin), CKN23-ARIN (Abuse)
 131                     UCSB-NET-AS                                        KS1217-ARIN (Admin), NETWO4536-ARIN (Abuse), KS1217-ARIN (Tech)
 132                     WPAFB-CSD-NET-AS                                   REGIS10-ARIN (Admin), REGIS10-ARIN (Tech), REGIS10-ARIN (Abuse)
 133                     AFIT-AS                                            REGIS10-ARIN (Admin), REGIS10-ARIN (Tech), REGIS10-ARIN (Abuse)
 134                     CORONA-GW-AS                                       LM35-ARIN (Abuse), LM35-ARIN (Admin), LM35-ARIN (Tech)
 135                     DNIC-AS-00135                                      REGIS10-ARIN (Tech), MIL-HSTMST-ARIN (Tech), MIL-HSTMST-ARIN (Admin), REGIS10-ARIN (Abuse)
 136                     AF-ASN-136                                         REGIS10-ARIN (Admin), REGIS10-ARIN (Tech), REGIS10-ARIN (Abuse)
 137                     RIPE-ASNBLOCK-137                                  RNO29-ARIN (Tech), RNO29-ARIN (Admin), ABUSE3850-ARIN (Abuse)
 138                     DNIC-AS-00138                                      REGIS10-ARIN (Tech), MIL-HSTMST-ARIN (Tech), MIL-HSTMST-ARIN (Admin), REGIS10-ARIN (Abuse)
 139                     DNIC-AS-00139                                      REGIS10-ARIN (Admin), REGIS10-ARIN (Abuse), REGIS10-ARIN (Tech)
 140                     DNIC-AS-00140                                      REGIS10-ARIN (Tech), MIL-HSTMST-ARIN (Tech), MIL-HSTMST-ARIN (Admin), REGIS10-ARIN (Abuse)
 141                     DNIC-AS-00141                                      REGIS10-ARIN (Admin), REGIS10-ARIN (Abuse), REGIS10-ARIN (Tech)
 142                     DNIC-AS-00142                                      REGIS10-ARIN (Tech), REGIS10-ARIN (Admin), REGIS10-ARIN (Abuse)
 143                     OOG1-AS                                            JD86-ARIN (Abuse), JD86-ARIN (Tech), JD86-ARIN (Admin)
 144                     ATT-INTERNET                                       DP1272-ARIN (Abuse), DP1272-ARIN (Tech), DP1272-ARIN (Admin)
 145                     VBNS                                               SWIPP-ARIN (Tech), VIS1-ARIN (Admin), ABUSE3-ARIN (Abuse), OA12-ARIN (NOC)
 146                     HQEIS-AS                                           REGIS10-ARIN (Admin), REGIS10-ARIN (Tech), REGIS10-ARIN (Abuse)
 147                     DNIC-AS-00147                                      REGIS10-ARIN (Tech), MIL-HSTMST-ARIN (Tech), MIL-HSTMST-ARIN (Admin), REGIS10-ARIN (Abuse)
 148                     DNIC-AS-00148                                      REGIS10-ARIN (Admin), REGIS10-ARIN (Abuse), REGIS10-ARIN (Tech)
 149                     DNIC-AS-00149                                      REGIS10-ARIN (Tech), MIL-HSTMST-ARIN (Tech), MIL-HSTMST-ARIN (Admin), REGIS10-ARIN (Abuse)
 150                     DNIC-AS-00150                                      REGIS10-ARIN (Tech), MIL-HSTMST-ARIN (Tech), MIL-HSTMST-ARIN (Admin), REGIS10-ARIN (Abuse)
 151                     IND-NTC-AS                                         AI2-ORG-ARIN (Admin), HH15-ORG-ARIN (Tech), HH15-ORG-ARIN (Abuse), AI2-ORG-ARIN (Tech)
 152                     SRI-ACCATT-AS                                      LS732-ARIN (Tech), HWB1-ARIN (Tech), LS732-ARIN (Admin), LS732-ARIN (Abuse), RDQ-ARIN (Tech)
 153                     CTNOSC-ASN-153                                     REGIS10-ARIN (Tech), REGIS10-ARIN (Admin), REGIS10-ARIN (Abuse)
 154                     DNIC-AS-00154                                      REGIS10-ARIN (Tech), REGIS10-ARIN (Admin), REGIS10-ARIN (Abuse)
 155                     DNIC-AS-00155                                      REGIS10-ARIN (Tech), MIL-HSTMST-ARIN (Tech), MIL-HSTMST-ARIN (Admin), REGIS10-ARIN (Abuse)
 156                     NORTHEASTERN-GW-AS                                 NETOP29-ARIN (Tech), NETOP29-ARIN (Abuse), RWH51-ARIN (Admin), BW364-ARIN (Tech)
 157                     INTELLIAUTON                                       GREGO13-ARIN (Tech), IPADM552-ARIN (Tech), GREGO13-ARIN (Abuse), GREGO13-ARIN (NOC), IPADM552-ARIN (NOC), IPADM552-ARIN (Admin), IPADM552-ARIN (Abuse)
 158                     ERI-AS                                             ERICS3-ARIN (Abuse), ERICS3-ARIN (Admin), ERICS3-ARIN (Tech)
 159                     OSUNET-AS                                          ZT31-ARIN (Admin), ZT31-ARIN (Tech), NAC29-ARIN (Abuse), ZT31-ARIN (NOC)
 160                     U-CHICAGO-AS                                       DNO22-ARIN (NOC), DOMAI99-ARIN (Admin), DOMAI99-ARIN (Tech), NSC26-ARIN (Abuse), DNO22-ARIN (Tech)
 161                     TI-AS                                              CKN23-ARIN (Admin), CKN23-ARIN (Tech), MS400-ARIN (Abuse), JO93-ARIN (Abuse), CH205-ARIN (Abuse), DF71-ARIN (Tech)
 162                     DNIC-AS-00162                                      REGIS10-ARIN (Admin), REGIS10-ARIN (Abuse), REGIS10-ARIN (Tech)
 163                     IBM-RESEARCH-AS                                    RAIN-ARIN (Tech), RAIN-ARIN (Admin), RAIN-ARIN (Abuse), TR783-ARIN (Tech)
 164                     DNIC-AS-00164                                      REGIS10-ARIN (Tech), MIL-HSTMST-ARIN (Tech), MIL-HSTMST-ARIN (Admin), REGIS10-ARIN (Abuse)
 165                     DNIC-AS-00165                                      REGIS10-ARIN (Tech), MIL-HSTMST-ARIN (Tech), MIL-HSTMST-ARIN (Admin), REGIS10-ARIN (Abuse)
 166                     IDA-AS                                             DL1558-ARIN (Abuse), SKA100-ARIN (NOC), CMU49-ARIN (Tech), JPR121-ARIN (Admin), MM227-ARIN (Tech)
 167                     WESLEYAN-AS                                        DW485-ARIN (Abuse), DW485-ARIN (Tech), GRA17-ARIN (Admin)
 168                     UMASS-AMHERST                                      JEM39-ARIN (NOC), ZU64-ARIN (Tech), ONS2-ARIN (Abuse), JEM39-ARIN (Admin)
 169                     HANSCOM-NET-AS                                     REGIS10-ARIN (Admin), REGIS10-ARIN (Tech), REGIS10-ARIN (Abuse)
 170                     DNIC-AS-00170                                      REGIS10-ARIN (Tech), MIL-HSTMST-ARIN (Tech), MIL-HSTMST-ARIN (Admin), REGIS10-ARIN (Abuse)
 171                     SOX-RES                                            NETWO653-ARIN (Tech), NETWO653-ARIN (NOC), GATEC-ARIN (Abuse), NETWO652-ARIN (Admin)
 172                     DNIC-AS-00172                                      REGIS10-ARIN (Tech), REGIS10-ARIN (Admin), REGIS10-ARIN (Abuse)
 173                     APNIC-173                                          AWC12-ARIN (Abuse), AWC12-ARIN (Admin), AWC12-ARIN (Tech)
 174                     COGENT-174                                         IPALL-ARIN (Tech), IPALL-ARIN (Admin), COGEN-ARIN (Abuse), ZC108-ARIN (NOC)
 175                     PL-AS                                              REGIS10-ARIN (Admin), REGIS10-ARIN (Tech), REGIS10-ARIN (Abuse)
 176                     BCN-AS                                             RF50-ARIN (Admin), RF50-ARIN (Abuse), RF50-ARIN (Tech)
 177                     UMICH-AS-1                                         INA18-ARIN (Admin), IAI8-ARIN (Abuse), UA11-ORG-ARIN (Tech)
 178                     UMICH-AS-2                                         INA18-ARIN (Admin), IAI8-ARIN (Abuse), UA11-ORG-ARIN (Tech)
 179                     UMICH-AS-3                                         INA18-ARIN (Admin), IAI8-ARIN (Abuse), UA11-ORG-ARIN (Tech)
 180                     UMICH-AS-4                                         INA18-ARIN (Admin), IAI8-ARIN (Abuse), UA11-ORG-ARIN (Tech)
 181                     MERIT-AS-1                                         MERIT-ARIN (Tech), NETWO26-ARIN (Abuse), IN-ORG-ARIN (Admin)
 182                     MERIT-AS-2                                         MERIT-ARIN (Tech), NETWO26-ARIN (Abuse), IN-ORG-ARIN (Admin)
 183                     MERIT-AS-3                                         MERIT-ARIN (Tech), NETWO26-ARIN (Abuse), IN-ORG-ARIN (Admin)
 184                     MERIT-AS-4                                         MERIT-ARIN (Tech), NETWO26-ARIN (Abuse), IN-ORG-ARIN (Admin)
 185                     MERIT-AS-5                                         MERIT-ARIN (Tech), NETWO26-ARIN (Abuse), IN-ORG-ARIN (Admin)
